,PE,PE_err,log_del_week,log_del_week_err,Cluster_size,has_enough_stat
000000001000008000,-0.0167,0.0045,0.0,0.0017,12,True
000000001000015723,-0.0182,0.0053,-0.0029,0.0008,11,True
000000001000071059,-0.0117,0.0031,-0.0023,0.0007,15,True
000000001000014946,-0.0147,0.0046,-0.001,0.001,14,True
000000001000033640,-0.011,0.0034,-0.0003,0.0003,13,True
000000001000054939,-0.0129,0.0037,0.0003,0.0001,13,True
000000001000123469,-0.0152,0.0041,0.0002,0.0004,13,True
000000001000054035,-0.0164,0.003,-0.0003,0.0003,18,True
000000001000086544,-0.0155,0.0029,-0.0013,0.0003,20,True
000000001000103648,-0.0191,0.0053,-0.0029,0.0008,9,True
000000001000062031,-0.0195,0.0045,-0.0022,0.0006,18,True
000000001000016039,-0.018,0.0036,-0.0023,0.0009,16,True
000000001000006755,-0.0176,0.0025,-0.0015,0.0007,18,True
000000001000123272,-0.0136,0.0042,-0.0012,0.0004,17,True
000000001000117190,-0.0164,0.0052,-0.0001,0.0003,17,True
000000001000074995,-0.0134,0.0035,-0.0001,0.0002,15,True
000000001000119831,-0.0142,0.0043,-0.002,0.0004,9,True
000000001000086500,-0.011,0.0029,-0.0006,0.0002,17,True
000000001000113287,-0.0156,0.0038,-0.0024,0.0007,17,True
000000001000126203,-0.0176,0.0029,-0.0031,0.0006,15,True
000000001000008770,-0.0152,0.0028,-0.0,0.0003,11,True
000000001000008037,-0.017,0.0051,-0.003,0.0007,19,True
000000001000005090,-0.0172,0.0055,0.0,0.0013,7,True
000000001000012838,-0.0135,0.0032,0.0001,0.0003,16,True
000000001000173793,-0.0178,0.0034,-0.002,0.0007,14,True
000000001000183589,-0.0119,0.0037,-0.0017,0.0004,14,True
000000001000012806,-0.0188,0.0037,0.0004,0.0005,17,True
000000001000022030,-0.0128,0.0042,-0.0026,0.0007,17,True
000000001000008850,-0.0136,0.0041,-0.0003,0.0002,14,True
000000001000064531,-0.0138,0.0028,-0.0031,0.0009,12,True
000000001000012769,-0.02,0.004,-0.0003,0.0002,17,True
000000001000008873,-0.0195,0.0054,-0.0028,0.0009,16,True
000000001000134698,-0.0181,0.0035,0.0004,0.0002,15,True
000000001000054955,-0.0123,0.0038,0.0003,0.0002,10,True
000000001000126040,-0.0158,0.0051,-0.0008,0.0003,15,True
000000001000008016,-0.0168,0.0045,0.0004,0.0004,15,True
000000001000008757,-0.0159,0.0051,-0.0006,0.0003,15,True
000000001000012831,-0.0141,0.0031,0.0,0.0002,16,True
000000001000052415,-0.0171,0.0025,-0.0004,0.0002,20,True
000000001000116617,-0.0181,0.0033,-0.0004,0.0003,15,True
000000001000034876,-0.0153,0.0028,0.0003,0.0002,18,True
000000001000086554,-0.0186,0.0041,-0.0001,0.0002,10,True
000000001000008030,-0.0177,0.0051,-0.001,0.0005,14,True
000000001000048005,-0.0192,0.004,-0.0008,0.0007,14,True
000000001000050952,-0.0189,0.0049,-0.0008,0.0005,18,True
000000001000117185,-0.0137,0.0036,-0.0001,0.0001,17,True
000000001000178061,-0.0154,0.0036,0.0004,0.0002,14,True
000000001000039131,-0.0158,0.0052,-0.0013,0.0012,13,True
000000001000027448,-0.0187,0.0044,-0.0011,0.0008,14,True
000000001000012771,-0.0165,0.0032,0.0001,0.0002,18,True
000000001000027368,-0.02,0.0056,0.0002,0.0002,12,True
000000001000012442,-0.0145,0.0037,-0.0002,0.0002,13,True
000000001000050892,-0.0163,0.0032,-0.0004,0.0002,18,True
000000001000012804,-0.0158,0.0044,0.0004,0.0002,12,True
000000001000071056,-0.0157,0.0032,-0.0016,0.0006,17,True
000000001000095038,-0.0166,0.0027,-0.0019,0.0005,18,True
000000001000086506,-0.0159,0.0037,-0.0001,0.0003,16,True
000000001000126043,-0.013,0.0036,-0.0011,0.0007,13,True
000000001000064532,-0.0157,0.0047,-0.0011,0.0009,14,True
000000001000123854,-0.0189,0.0038,-0.0027,0.0006,11,True
000000001000021858,-0.0172,0.0048,-0.0048,0.0007,15,True
000000001000012562,-0.0138,0.0036,-0.0009,0.0003,14,True
000000001000054958,-0.0178,0.0049,-0.0018,0.0008,6,True
000000001000052582,-0.0127,0.0041,-0.0021,0.0005,13,True
000000001000051350,-0.014,0.0043,-0.002,0.0006,12,True
000000001000071022,-0.0138,0.0043,-0.0024,0.0009,13,True
000000001000005890,-0.0182,0.006,-0.0019,0.0004,12,True
000000001000166550,-0.0174,0.0057,-0.0003,0.0002,13,True
000000001000173794,-0.0126,0.003,-0.0001,0.0002,17,True
000000001000012810,-0.0171,0.0044,0.0003,0.0002,14,True
000000001000119632,-0.0132,0.0032,-0.0014,0.0005,12,True
000000001000116628,-0.0147,0.0033,-0.0015,0.0003,12,True
000000001000071055,-0.0182,0.0049,-0.0034,0.0011,10,True
000000001000021833,-0.0189,0.0056,-0.0025,0.0008,17,True
000000001000080044,-0.0143,0.0042,-0.0024,0.0006,17,True
000000001000021717,-0.0152,0.005,-0.0004,0.0009,2,True
000000001000164659,-0.0027,0.0006,0.0,0.0,14,True
000000001000116631,-0.0116,0.0034,-0.0011,0.0002,11,True
000000001000016090,-0.0165,0.0047,-0.0024,0.0007,13,True
000000001000071065,-0.0139,0.004,-0.0003,0.0004,11,True
000000001000092354,-0.0066,0.0021,-0.0009,0.0003,15,True
000000001000119757,-0.0171,0.0045,-0.0006,0.0003,15,True
000000001000073182,-0.0129,0.0041,-0.0008,0.0004,9,True
000000001000064655,-0.0177,0.0035,-0.002,0.0007,16,True
000000001000008012,-0.0179,0.0056,0.0004,0.0004,10,True
000000001000116680,-0.0194,0.0041,-0.0026,0.0017,4,True
000000001000071146,-0.0121,0.0031,-0.0005,0.0006,13,True
000000001000012761,-0.0171,0.0039,0.0001,0.0001,19,True
000000001000050870,-0.0147,0.0036,-0.0002,0.0001,17,True
000000001000119256,-0.0193,0.0042,0.0006,0.0002,14,True
000000001000130403,-0.0143,0.0039,-0.0009,0.0003,16,True
000000001000015924,-0.0154,0.0029,-0.0013,0.0005,20,True
000000001000022178,-0.0102,0.0026,-0.0005,0.0006,13,True
000000001000118463,-0.0161,0.0037,0.0009,0.0004,17,True
000000001000015906,-0.0186,0.0059,-0.0013,0.0014,16,True
000000001000027410,-0.0148,0.0044,-0.0013,0.0008,14,True
000000001000126027,-0.0158,0.0033,-0.0007,0.0008,16,True
000000001000123459,-0.0138,0.0034,-0.0001,0.0003,14,True
000000001000037756,-0.0187,0.0048,-0.0003,0.0004,14,True
000000001000130396,-0.0143,0.0033,-0.002,0.0003,14,True
000000001000126916,-0.012,0.0038,-0.0012,0.0002,12,True
000000001000053479,-0.0188,0.005,-0.0019,0.0005,18,True
000000001000008807,-0.016,0.0048,-0.0008,0.0005,15,True
000000001000071058,-0.0165,0.0046,-0.0032,0.0012,9,True
000000001000123585,-0.0186,0.004,-0.0001,0.0004,13,True
000000001000116632,-0.0114,0.003,-0.001,0.0002,17,True
000000001000194086,-0.017,0.0036,-0.0054,0.0013,4,True
000000001000027348,-0.016,0.0032,-0.0006,0.0004,17,True
000000001000114875,-0.0198,0.0055,-0.0042,0.0015,15,True
000000001000031109,-0.0142,0.0037,-0.0005,0.0004,13,True
000000001000086543,-0.0149,0.0028,-0.0014,0.0003,20,True
000000001000086541,-0.0117,0.0027,-0.0006,0.0002,18,True
000000001000153433,-0.017,0.0042,0.0002,0.0004,15,True
000000001000012835,-0.0105,0.0025,0.0001,0.0002,17,True
000000001000130402,-0.017,0.0038,-0.001,0.0002,15,True
000000001000182822,-0.0152,0.0046,0.0005,0.0004,13,True
000000001000006475,-0.0197,0.0057,-0.0011,0.001,10,True
000000001000015756,-0.0161,0.0039,0.0005,0.0003,17,True
000000001000050869,-0.0179,0.0044,0.0001,0.0001,16,True
000000001000050886,-0.015,0.0046,-0.0001,0.0001,15,True
000000001000056965,-0.011,0.0033,-0.0007,0.0005,13,True
000000001000182823,-0.0152,0.0046,-0.0002,0.0002,15,True
000000001000015595,-0.0179,0.0023,0.0002,0.0002,18,True
000000001000129699,-0.0184,0.0055,-0.0014,0.0006,13,True
000000001000104209,-0.0189,0.0062,-0.0002,0.0002,17,True
000000001000056742,-0.0136,0.0041,0.0002,0.0003,17,True
000000001000008017,-0.0144,0.0041,0.0004,0.0003,13,True
000000001000062034,-0.0165,0.0045,-0.0022,0.0006,17,True
000000001000034837,-0.0094,0.0022,-0.0009,0.0004,15,True
000000001000039133,-0.013,0.004,-0.0006,0.0004,16,True
000000001000052319,-0.0101,0.0028,-0.0021,0.0004,18,True
000000001000007108,-0.0157,0.0035,0.0006,0.0002,11,True
000000001000126850,-0.0132,0.0037,0.0001,0.0003,12,True
000000001000032623,-0.0148,0.0042,0.0,0.0003,13,True
000000001000007403,-0.0199,0.0058,-0.0003,0.0006,11,True
000000001000006715,-0.0165,0.0049,-0.0002,0.0004,12,True
000000001000021703,-0.017,0.0042,0.0,0.0002,8,True
000000001000113346,-0.0173,0.0053,-0.0011,0.0008,11,True
000000001000082095,-0.017,0.0042,-0.0018,0.0006,14,True
000000001000188192,-0.0163,0.0028,0.0002,0.0003,10,True
000000001000126037,-0.0167,0.0039,-0.0015,0.0005,14,True
000000001000192590,-0.02,0.0045,0.0004,0.0002,16,True
000000001000022181,-0.0137,0.0045,0.0004,0.0002,10,True
000000001000007999,-0.0143,0.0037,-0.0008,0.0008,10,True
000000001000177736,-0.0148,0.0036,-0.0021,0.0006,14,True
000000001000178624,-0.0058,0.0016,-0.0005,0.0003,16,True
000000001000016120,-0.0177,0.0037,-0.0023,0.0005,12,True
000000001000126887,-0.0195,0.0063,-0.0041,0.0018,8,True
000000001000056780,-0.0136,0.0036,-0.0008,0.0005,13,True
000000001000056743,-0.0155,0.0051,0.0002,0.0004,9,True
000000001000173828,-0.0141,0.0044,-0.0003,0.0009,13,True
000000001000123450,-0.0186,0.004,0.0004,0.0002,14,True
000000001000021853,-0.0174,0.0046,-0.0011,0.0004,14,True
000000001000174090,-0.0139,0.0041,-0.002,0.0006,13,True
000000001000114903,-0.0183,0.0049,-0.0,0.0003,15,True
000000001000126204,-0.0179,0.0031,-0.0002,0.0002,16,True
000000001000032622,-0.0147,0.0044,0.0,0.0003,17,True
000000001000123412,-0.0156,0.0033,-0.0001,0.0002,14,True
000000001000200148,-0.0128,0.0035,0.0001,0.0002,12,True
000000001000136118,-0.0197,0.0061,-0.0038,0.0008,16,True
000000001000171334,-0.0149,0.0043,-0.002,0.0006,11,True
000000001000123178,-0.0109,0.0036,-0.0003,0.0004,11,True
000000001000204351,-0.0178,0.0044,-0.002,0.0004,10,True
000000001000171358,-0.0103,0.0021,-0.0009,0.0004,15,True
000000001000129707,-0.0173,0.0036,-0.002,0.001,14,True
000000001000181261,-0.0137,0.0038,0.0006,0.0003,12,True
000000001000205915,-0.0153,0.0032,0.0003,0.0002,15,True
000000001000185455,0.1748,0.0582,-0.0001,0.0,1,True
000000001000177734,-0.0149,0.0032,-0.002,0.0006,15,True
000000001000202489,-0.0149,0.0037,-0.0002,0.0004,15,True
